epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.28283095,0.058432095,0.8508618524914534,1e-04,0.08957325,0.87461895,0.038667116,0.048553422,0.7113386511802673,0.07737718,0.999913
1,0.72171855,0.06460874,0.620229156628198,1e-04,0.1919877,0.726831,0.83582217,0.04817535,0.686295485496521,0.043606475,0.05198037
2,0.84328705,0.065815784,0.5235199635563372,1e-04,0.27774712,0.52344555,0.889271,0.048221536,0.6686344504356384,0.010816335,0.0047275973
3,0.8881449,0.06728919,0.4783546591568672,1e-04,0.36916092,0.42223758,0.9105274,0.04775702,0.6138856649398804,0.011804692,0.0018736369
4,0.90312815,0.06920659,0.4512525616591511,1e-04,0.44394702,0.42566913,0.9157836,0.04810139,0.5674534440040588,0.0070211934,0.00062647916
5,0.9114962,0.071118265,0.43348758755205363,1e-04,0.50444716,0.4534847,0.91910017,0.048111826,0.5347803592681885,0.010869565,0.0005046638
6,0.9141284,0.07260415,0.4270456067395804,1e-04,0.5281481,0.4759231,0.9199071,0.048307125,0.5023336291313172,0.011802749,0.00042345352
7,0.91889024,0.07596728,0.40766366499598766,1e-04,0.5723432,0.5281513,0.9203545,0.049879584,0.4681623220443726,0.025878353,0.00079470046
8,0.92307734,0.0790436,0.39352651189654747,1e-04,0.6104471,0.5531946,0.9214648,0.050598454,0.4456886827945709,0.17660044,0.0037124692
9,0.9258699,0.083197236,0.38182058368289173,1e-04,0.6370941,0.5819791,0.92263794,0.050590526,0.42190144062042234,0.6157171,0.009089749
10,0.9286882,0.08818624,0.3709631394661194,1e-04,0.6627866,0.60339636,0.9229018,0.050454378,0.3992893934249878,0.7698556,0.009896051
11,0.93094385,0.09346691,0.36101284485270546,1e-04,0.68232083,0.61716187,0.92309123,0.051036507,0.38091468811035156,0.78076583,0.015493758
12,0.93333834,0.09889868,0.35170722007751465,1e-04,0.70315677,0.6261422,0.923448,0.05165431,0.3686895966529846,0.7950881,0.02460091
13,0.935707,0.10444,0.34284171249942846,1e-04,0.7241731,0.6327801,0.92381513,0.05204443,0.3594575524330139,0.8227446,0.030047799
14,0.93787265,0.109970726,0.33435968137296496,1e-04,0.74436796,0.63680935,0.9244811,0.053610362,0.3516785025596619,0.8455294,0.044102974
