epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.51644003,0.06155105,0.7840457386817796,1e-04,0.1093402,0.70418745,0.9205461,0.048198864,0.6626173973083496,0.004709912,0.00012761613
1,0.78379214,0.07637078,0.5747559863901648,1e-04,0.2335702,0.67956597,0.9226326,0.048010014,0.5939039826393128,0.0,0.0
2,0.8744266,0.0814738,0.47359168084066533,1e-04,0.37827867,0.6196145,0.9226326,0.0481888,0.530922532081604,0.0,0.0
3,0.90597814,0.086780384,0.42779276273428757,1e-04,0.50164574,0.60560447,0.9226326,0.048565634,0.4850746810436249,0.0,0.0
4,0.9204766,0.0912185,0.4002482937748322,1e-04,0.5919445,0.590549,0.9223619,0.051430453,0.4697571575641632,0.15725806,0.0006786858
5,0.92674845,0.09529807,0.3814891165261591,1e-04,0.6424091,0.58529264,0.9225087,0.0499442,0.4482613503932953,0.1897436,0.00042925426
6,0.93053156,0.099446766,0.36674387514379103,1e-04,0.6763536,0.58651465,0.92257553,0.049411952,0.42113829851150514,0.36754966,0.0006438814
7,0.9331591,0.10395247,0.3540455936537094,1e-04,0.70070183,0.59231305,0.92263657,0.048873942,0.39545262455940244,0.64204544,0.0006554829
8,0.9354335,0.1083155,0.3425583342004077,1e-04,0.72232217,0.59741205,0.9226496,0.048317693,0.37527979612350465,0.7894737,0.000696088
9,0.93696374,0.11216613,0.33378779177563894,1e-04,0.7365127,0.60494447,0.92268056,0.04853959,0.3595689952373505,0.8031496,0.0017750243
