epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.5918519,0.06407079,0.6736219383219383,1e-04,0.121379785,0.65349513,0.91978186,0.04820652,0.6480078577995301,0.0045447424,0.00016822126
1,0.8660199,0.082768716,0.5108689443072391,1e-04,0.34964013,0.60294014,0.92258275,0.046552096,0.5717307567596436,0.0,0.0
2,0.9197261,0.09498051,0.4356806153080217,1e-04,0.5778998,0.5470552,0.9224517,0.04568244,0.5322696924209595,0.0,0.0
3,0.93070686,0.10469598,0.39255549124975647,1e-04,0.6759728,0.54939765,0.9226326,0.044400554,0.47169929146766665,0.0,0.0
4,0.93591785,0.11236254,0.36363710669860294,1e-04,0.7308394,0.5574892,0.9226326,0.04289519,0.4213429570198059,0.0,0.0
