epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.14133614,0.055890996,0.9565807296712203,1e-04,0.082464084,0.97009933,0.038464714,0.048679926,0.731024706363678,0.07736745,1.0
1,0.522041,0.05652137,0.6990043868797954,1e-04,0.11723781,0.7557478,0.4624876,0.04834346,0.6978324294090271,0.08515617,0.58300847
2,0.77993375,0.057249248,0.6157922201733572,1e-04,0.19523995,0.53302866,0.81849897,0.04819872,0.670451819896698,0.0039610583,0.0053598774
3,0.8631363,0.058164317,0.5802833164289752,1e-04,0.29381981,0.44205028,0.9005437,0.04851225,0.6315714955329895,0.008234678,0.0023724998
4,0.8939458,0.05936455,0.5584949993153908,1e-04,0.38977066,0.41416892,0.9107464,0.04888939,0.597965133190155,0.00863939,0.0013399693
5,0.9093345,0.06088584,0.5407715507673623,1e-04,0.48059627,0.42064518,0.9134575,0.049301315,0.5734572052955628,0.0090574445,0.0010847371
6,0.9140983,0.06284413,0.5266976449837464,1e-04,0.5237392,0.45776144,0.9153052,0.049763612,0.5573597192764282,0.011724888,0.0011253422
7,0.916429,0.06487015,0.5141904875901246,1e-04,0.54866517,0.4993189,0.91895473,0.050158054,0.546315324306488,0.027817067,0.001368973
8,0.9175778,0.06661323,0.5036947286001728,1e-04,0.5613384,0.5284259,0.92064804,0.0506864,0.5340185046195984,0.07163149,0.002047659
9,0.9210949,0.06847519,0.4930527857189925,1e-04,0.59086627,0.54893434,0.92143387,0.05085527,0.5207146048545838,0.3357739,0.011439046
10,0.92476773,0.07044596,0.48321975656251465,1e-04,0.62237704,0.56412494,0.9219948,0.05154304,0.5073619961738587,0.5345608,0.039746623
11,0.9278299,0.07264824,0.4742673482759143,1e-04,0.6495564,0.5778918,0.92299384,0.052858658,0.4942285597324371,0.6293884,0.09920994
12,0.9310468,0.07519087,0.46570434126989696,1e-04,0.67928946,0.5922873,0.92356783,0.053732954,0.48222955465316775,0.650842,0.13384032
13,0.93340164,0.07791755,0.4576383381551695,1e-04,0.70186794,0.5998969,0.92460185,0.054910053,0.47205776572227476,0.68061656,0.16264096
14,0.9354515,0.0807946,0.4498387263338761,1e-04,0.72167724,0.6049738,0.92576283,0.056468844,0.4634825050830841,0.7007679,0.19851269
15,0.93749803,0.084050976,0.4420383897116176,1e-04,0.7417517,0.61168313,0.9265662,0.057711624,0.4563903510570526,0.7143728,0.21067102
16,0.93921477,0.08743664,0.43444357435898423,1e-04,0.7590202,0.61694664,0.92715544,0.05882708,0.44966074228286745,0.7225016,0.22335723
17,0.9407202,0.09074554,0.4270620439400452,1e-04,0.774054,0.6223889,0.92963004,0.06273392,0.4435630202293396,0.7409728,0.2887779
18,0.94226724,0.09425716,0.4195920687129065,1e-04,0.78968394,0.6286699,0.9309975,0.064792,0.43795069456100466,0.7544711,0.30833218
19,0.94359094,0.09753543,0.41240993683024235,1e-04,0.8038072,0.6316789,0.9315491,0.067728564,0.43364136219024657,0.7474032,0.34392548
20,0.9446324,0.100644626,0.405364935190228,1e-04,0.8150025,0.63394916,0.93246776,0.0701866,0.4291968524456024,0.751181,0.36803913
21,0.9455692,0.10344324,0.39854177821997644,1e-04,0.8256948,0.6343274,0.9354158,0.076088,0.4201011538505554,0.76717424,0.43778133
22,0.94645286,0.10655849,0.3916732726148015,1e-04,0.8352349,0.63830596,0.93711406,0.07896976,0.4131447196006775,0.79227185,0.44267714
23,0.9462387,0.10849346,0.38598720448297114,1e-04,0.83305,0.6349302,0.93804485,0.079809025,0.40632364749908445,0.8162899,0.43002576
24,0.94583815,0.11006657,0.3808477270645603,1e-04,0.8285872,0.6298526,0.93401426,0.070456155,0.4048826456069946,0.81460786,0.30782172
25,0.9451846,0.109652445,0.37628733348167664,1e-04,0.82552195,0.613829,0.9383334,0.09204054,0.39405566453933716,0.7677346,0.5515743
26,0.9464915,0.11288677,0.3691157381517607,1e-04,0.83818305,0.62459123,0.93672854,0.100469805,0.39142141342163084,0.73530436,0.61212236
27,0.94719267,0.115577064,0.3625598038642856,1e-04,0.84582496,0.62883365,0.9385551,0.10650033,0.3858598530292511,0.7558351,0.61406565
28,0.9474807,0.117741436,0.35666977722873894,1e-04,0.8497105,0.6267979,0.93344116,0.11115961,0.38909501433372495,0.70090336,0.64451945
29,0.94765705,0.11988861,0.35102961835487884,1e-04,0.8506192,0.6287929,0.93945265,0.10978284,0.3716322064399719,0.7683583,0.60871154
